id,name,pronunciation,meaning,image,topic_id
72,sea snail,/siː/ /sneɪl/,ốc biển,,3
73,sea urchin,/siː/ /ˈɜːʧɪn/,nhím biển,,3
74,sea turtle,/siː/ /ˈtɜːtl/,rùa biển,,3
75,sea lion,/siː/ /ˈlaɪən/,sư tử biển,,3
76,salamander,/ˈsæləˌmændə/,kỳ giông,,3
77,hippopotamus,/ˌhɪpəˈpɒtəməs/,hà mã,,3
78,fish,/fɪʃ/,cá,,3
79,clownfish,/ˈklaʊnfɪʃ/,cá hề,,3
80,common carp,/ˈkɒmən kɑːp/,cá chép,,3
81,crocodile,/ˈkrɒkədaɪl/,cá sấu,,3
82,anchovy,/ˈænʧəvi/,cá cơm biển,,3
83,sperm whale,/spɜːm weɪl/,cá nhà táng,,3
84,catfish,/ˈkætˌfɪʃ/,cá trê,,3
85,mackerel,/ˈmækrəl/,cá thu,,3
86,pomfret,/ˈpɒmfrɪt/,cá chim,,3
87,eel,/iːl/,lươn,,3
88,flounder,/ˈflaʊndə/,cá bơn,,3
89,goby,/ˈɡəʊbi/,cá bống,,3
90,herring,/ˈhɛrɪŋ/,cá trích,,3
91,catfish,/ˈkætfɪʃ/,cá trê,,3
92,tench,/tentʃ/,cá mè,,3
93,tilapia,/tɪˈlɑːpiə/,cá rô,,3
94,pufferfis,/ˈpʌfəfɪʃ/,h  cá nóc,,3
95,suckermouth catfish,/ˈsʌkəmaʊθ ˈkatfɪʃ/,cá dọn bể,,3
96,red tilapia,/rɛd tɪˈleɪpɪə/,cá diêu hồng,,3
97,swordfish,/ˈsɔːdfɪʃ/,cá kiếm,,3
98,stingray,/ˈstɪŋreɪ/,cá đuối,,3
99,tuna,/ˈtjuːnə/,cá ngừ,,3
100,anabas,/ˈanəbəs/,cá rô,,3
101,flowerhorn,/ˈflaʊəhɔːn/,cá la hán,,3
102,sardine,/sɑːˈdiːn/,cá mòi,,3
103,snakehead fish,/ˈsneɪkhɛd fɪʃ/,cá quả,,3
104,angelfish,/ˈeɪndʒ(ə)lfɪʃ/,cá thiên thần,,3
105,alligator,/ˈælɪgeɪtə/,cá sấu mỹ,,3
106,sea snake,/siː sneɪk/,rắn biển,,3
107,frog,/frɒg/,ếch,,3
108,jellyfish,/ˈdʒel.i.fɪʃ/,con sứa,,3
109,killer whale,/ˈkɪl.əʳ weɪl/,loại cá voi nhỏ màu đen trắng,,3
110,seal,/siːl/,chó biển,,3
